Movie,title,review
Pirates of the Caribbean: At World's End (2007),Terrible,"Well, after seeing Pirates II, I didn't think it was possible for III to be any worse.... I was wrong. This is quite possibly the worst film I have ever seen. I understand that some movies are made just for ridiculous, but fun, action sequences and little or no plot line, and you can definitely tell which movies those are, but this one tried to have a decent plot, and failed miserably. Yes, the action sequences were fantastic and full of some of the most ridiculous stunts imaginable, but they in no way saved the horrible attempt at a plot line. With hardly any character development, far less Jack Sparrow than there should have been, the abandonment of the love triangle, the overly-dramatic attempt for an epic, and the complete lack of trying to be at least somewhat historically correct, the writers have caused cinema to reach a new low.

The first problem with the movie is that Jack Sparrow isn't seen for half an hour. Johnny Depp is pretty much what has made the Pirates films. And when you do finally get to see him, he has been downgraded to the status of comic relief, rather than the humorous hero he has played in the past. It is because of this that you actually start to wish that you see less of him. The corny, one-line jokes that just seem to perpetually flow forth from his mouth get old very, very quickly.

The second problem is, of course, the total lack of true interaction between the characters. Most of their speech is devoted to furthering the already failing plot, and the little that is actual development of their relationships is poorly written. Though I hated the idea of the love triangle between Will, Elizabeth, and Jack introduced in Pirates II, I was sad to see them completely abandon that idea, acting almost as though it had never happened.

The main problem that I had with the plot for this film is that it never really settled down. It was either moving forward far too fast for most of the audience to keep up with, or so dead still that half the audience was falling asleep (though the latter was far rarer). Plus the introduction of so many different plot devices and magic just made the story seem so implausible. I mean, I am a firm believer in the willing suspension of disbelief in small doses (such as the amount of disbelief I had to suspend in the first film), but if I was going to actually enjoy this movie, I would have had to have suspended it for almost the entire length of the film, and that's hard to do for near three hours.

And finally, the first film, as far as I know, was pretty much on par in terms of historical accuracy and pirate mythology. That is, it was very true to the era it was based in, and didn't have to add in all sorts of fantastical, magical things to give the film a sense of adventure. The only magic involved was the curse of the medallions. Which, while it may have dominated most of the plot, was rooted in some history and was presented in a plausible way. For that, I can suspend my disbelief. But when they start giving physical manifestations to Davy Jones (granted that was introduced in the second film, but still) and start calling Greek sea-nymphs (Calypso) Pirate goddesses; I'm sorry but I just can't do that. Not to mention them trying to claim that the pirates, as treacherous and murderous as they were, were actually all united under one flag is just ridiculous. No historical value (and very weak story value) whatsoever.

All in all, this film surpassed how terrible I expected it to be so horribly that I am honestly considering walking back to the theater and asking for compensation for the three wasted hours of my life."
Pirates of the Caribbean: At World's End (2007),Convoluted? Are you kidding???!!!,"I almost did not see this movie because of a number of reviews that reported the storyline as convoluted. Convoluted, are you kidding?? This movie was intricate with an ending, I believe, few could have figured out. The effects were excellent, with some magically memorable scenes. But anyone but a child or someone who does not want to think while viewing this movie, would find it convoluted or meandering. Are there holes, sure, but I know of very few movies without them. Although it has what could be considered multiple endings, these are character resolutions that help to complete this installment. Make sure that when you see this movie, that you sit through the end titles, because, as usual, there is a surprise at the end. Who knows, there may yet be another installment, but I doubt it.
27 out of 46 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),POTCAWE was absolutely amazing!,spoiler warning
Pirates of the Caribbean: At World's End (2007),Good movie but a long movie,"3 hour movie was a bit too long for me bit everything I loved
3 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Don't be surprised if you get terribly bored by this movie,"This is yet another Jerry Bruckheimer totally over-produced movie, very much like Pearl Harbor. It's useless crap leading nowhere. Boring, shallow, too long, too big, too many explosions, too many special effects, too much so-called ""action"" (which becomes nauseating quickly), too much noise, too many lame jokes, too much make-up but too many shiny white teeth, too much of everything except entertainment and engaging story. Best enjoyed if you're brain-dead, really. Very dull and a total waste of time. Thank goodness I did not see it in cinema but only on free TV. Money well saved. For me easily one of the most uninspired movies of all times. For an entertaining pirates movie see the lovely Geena Davis in Cutthroat Island. It's rated lower here on IMDb than POTC3, but at least it has charm and doesn't take itself too seriously.
3 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Excellent to top off the series except ...,spoiler warning
Pirates of the Caribbean: At World's End (2007),Captain Jack is Back!!,spoiler warning
Pirates of the Caribbean: At World's End (2007),"Fantastic film, If Johnny Depp is not your only reason for watching","At World's End is the third and final installment of the trilogy. The film picks up almost immediately after the second part.

The acting is great by everyone. However I was slightly disappointed by Johnny Depp's Jack Sparrow. Jack got on my nerves at times and that is never a good sign.

The best performances were set by Geoffrey Rush and Keira Knightley. Barbossa and Elizabeth are the characters who've got the most wit in this film and you never know what they're gonna do next. Tom Hollander and Bill Nighy portray the villains Lord Cutler Beckett and Davy Jones and do that with style.

Overall this film is fantastic. Visual effect, Costume design and Music are all top-notch.

You'll really enjoy this film if Johnny Depp is not your only reason for watching the film."
Pirates of the Caribbean: At World's End (2007),a brilliant end of the trilogy (Spoilers),spoiler warning
Pirates of the Caribbean: At World's End (2007),"Simply a brilliant, action-packed, swashbuckling masterpiece!","I have become a massive fan of 'Pirates Of The Caribbean' lately. I was only about 9 or 10 when the 'Curse Of The Black Pearl' was released,so that is why it is my least favourite, which is strange because everyone thinks the first one is the best. I saw 'Dead Mans Chest' in the cinema 3 times because I thought it was totally awesome. Then, just 1 year later, the 3rd Pirates movie is made, and this is what I thought of that; I was HUGELY excited about seeing this film. I saw it on May 25th 2007. But I have to admit, when I first saw 'At Worlds End', I didn't exactly like it that much. It was only when I re-watched it on DVD today when I realised how amazing it really is. Captain Jack Sparrow is back and it seems he is here to stay, as this movie contains a HUGE battle at the end. Orlando Bloom and Keira Knightley are back, which it a great exception. It was great to see Barbossa is no longer evil but is now on the good side. I am loving Davey Jones, just like I did in the previous movie. Bill Nighy is perfect for the role!!! The evil Lord Cutler Beckett had a much bigger role in this, which was great, as he is plays SOOOOO well. The new characters, like Captain Sao Feng were well done, too.

This movie really sucks you into it. The action is completely awesome and the humour, the fighting and everything else makes this movie a definete must-see!!!!"
Pirates of the Caribbean: At World's End (2007),Pirates of the Caribbean:At World's End,spoiler warning
Pirates of the Caribbean: At World's End (2007),Enjoyable and fun movie...,"Having been a big fan of COTBP I was wondering how they could better it our at least make a film half as good. DMC was enjoyable like its predecessor and had some great moments in it (the fighting on the wheel and the extremely funny scene where will and the crew are trying to swing to safety on the island) So when ATW came I was hoping for the same type of film. Good news is it is a good film and enjoyable for fans and newbies. If you can brave the run time and actually decide to have a good time you will enjoy this movie.

I won't spoil any part of the film because its the type of film you have to watch a few times to really appreciate how good it is, but overall it has good action scenes, and when the pace is slow it manages to keep you in the mood with some witty and funny moments.

So all in all don't read negative comments and automatically think to yourself that you don't want to watch the movie, It is enjoyable and comes highly recommended. So give in and go watch the first blockbuster of the year! 10/10"
Pirates of the Caribbean: At World's End (2007),fantastic movie,"Just saw the movie yesterday, a complete package of adventure, entertainment, comedy and action I loved the way it ended,wish the teaser leads us to a fourth part. But one can only hope. Jack sparrow was witty as ever ,Barbossa was great.i felt Elizabeth got a little too much of a role but she performed it with utter ease.thank goodness they did not kill William.I liked Pintel & Ragetti .There was excellent comic timing between them.This movie is definitely going to be the highest grosser in Hollywood this year.Overall a fantastic way to satisfy the pirates fans.

A must watch
12 out of 18 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Wow-ho wow-ho!,"First of all I warn you: do not focus too much on the plot. There are some things you won't like, for the most of you a few things, for a few of you most things. But this is not a movie you'll love for its plot. You're going to love for its special effects better and better from the first chapter of the trilogy (the final battle is a masterpiece!), and because in this movie there's fun, a lot of fun: jack/johnny is irresistible, Barbossa is a great pirate and all the crew (pintel and ragetti over every other one) is hilarious. I saw it yesterday, but I'm going to see it again and again. Why? Because when you're on your seat and the light come down, then begins a show you cannot dislike. A suggestion? Enjoy it!
94 out of 185 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Emotional Puzzle,"Pirates of the Caribbean: At World's End (2007, Dir. Gore Verbinski)

After losing Jack Sparrow to the locker of Davy Jones, the team of Will Turner, Elizabeth Swan and Captain Barbossa make their final alliances with the pirate world to take on the forces of Lord Cutler Beckett and his crew, including Davy Jones, who he now has control over. It's not going to be easy, as they must rescue Sparrow, convince all the pirate lords to join them and defeats Beckett, whilst each individual pirate has their own route which they wish to follow.

It's often a sad time for me, when i see a trilogy come to an end. There are so many great characters that you really do start to miss them. Unfortunately, trilogies always seem to have the problem are living up to the previous movies. 'At World's End' falls into this category. The characters are great as always with Geoffrey Rush bringing Barbossa back to life as much as he did in the first movie. The special effects are amazing again, with some beautiful crafted fight sequences and Davy Jones looking even more realistic. The music is fun again but disappointing compared to the first two films. The main problem with this film is the story. It's not the most easy to follow story and can really make you think for a bit. Still, the third 'Pirates' movie is a roller-coaster of a movie.

""Do you fear death?"" - Davy Jones (Bill Nighy)"
Pirates of the Caribbean: At World's End (2007),It is just more,spoiler warning
Pirates of the Caribbean: At World's End (2007),Pirates 3.,"I had been excited about this for MONTHS. i saw it on opening night and then another 3 times withing a week.

This one is just as good as the other two. The visual effects were grand. The fights were spectacular. I applaud everyone involved with this movie. Let's face it, trilogy's aren't easy to make, but Gore Verbinski made it look as easy as walking. All the time and work everyone put it into it paid off.

Captain Jack Sparrow was just as funny, Will was just as unpredictable, Elizabeth got Darker and Barbosa got nicer. The Keith Richards cameo was fabulous.

A lot of ends were tied up, but a lot were opened. I do hope to see a fourth and possibly a fifth.

I NEED MORE.

This movie deserves a 10."
Pirates of the Caribbean: At World's End (2007),Finale? Maybe not...,"Curse of the Black Pearl was a great movie unto itself and can easily stand alone without any problem. Dead Man's Chest, on the other hand, was a mild disappointment. It had many flaws and left you wondering what you just watched.

At World's End is a great movie all-around. From the heart-wrenching opening scene, to the heart-pounding, edge-of-your-seat sea battle, and of course the final scene before the credits (and don't forget the scene after the credits are over), AWE takes what was great of the first movie and takes it even further.

The action is awesome in this film. Cannons, muskets, and the clang of swords are everywhere, but it doesn't go overboard, nor does it seem out of place (like that wheel-balancing sword-fight in Dead Man's Chest). It just seems right.

But then there's the humor, that was ever-present in the Black Pearl, but seriously lacking in Dead Man's Chest. It's back, and boy is it great. Black Pearl became known for doing a great job at intertwining action and comedy, and At World's End brings it back and does a great job. Again, the comedy is no where out of place, and the timing is perfect.

Those in the press who gave this movie a disappointing rating need to see it again, and actually pay attention. Those who go into this movie with the predisposition that it'll be disappointing will only find disappointment, and thus will miss the great experience that At World's End is. The storyline is beautifully done and leaves you wanting more.

And to those who call this a finale, not so fast. There is plenty left open, plenty of questions to be answered, and the ending scene following the credits, along with the last scene before the credits is proof of this. Will they make a fourth Pirates? Who knows, but I'm hoping so, and that fourth Pirates would easily make a finale.

With the resurrection of the comedy and action found in Curse of the Black Pearl and the elimination of many of the problems with Dead Man's Chest, At World's End is a great film that is going to be on my buy list when it hits store shelves (Blu-Ray, of course). I highly recommend this film for those who loved the first movie and either loved or even felt disappointed by the second.

I give this film, its actors, actresses and crew, a 10 out of 10. Anything less would be piracy."
Pirates of the Caribbean: At World's End (2007),You can put lipstick on a pig but its still a pig,"You know those wax deserts that they bring out at restaurants like Johnny Carino's and Red Lobster. They look really good, but try taking a bite out of it and all you get is a mouth full of wax. That's how Pirates of the Caribbean at World's End made me feel. It has amazing visuals. Duh. Every special effects movie made from here to the end of eternity is going to have amazing visuals. If you haven't noticed by now nerds with computers can do some really cool stuff if you throw enough money at them. Back in the 90's good visuals could carry a movie, like say, Independence Day, but they can't do it any more. In the past 10 years we've seen people fly and dodge bullets in slow motion, we've seen New York City destroyed in a disturbingly large variety of ways, we've seen the armies of Rohan ride to the rescue of Gondor crushing orcs under foot, we've seen every imaginable object or animal anthropomorphized from toys, to cars, to penguins several times over. All that to say you can't just impress me with visuals anymore. I demand a story I can follow and enjoy; is that too much to ask of a good movie? I'm not asking for Dickens, not even Tom Clancy, just a passable story that an intelligent person can follow. Pirates doesn't give me this. And more than that, it takes lovable characters and diminishes them by placing them into this joke of a script. You know why the first Pirates movie was good? I didn't know a person who sat down to watch it who didn't like it. Now 90% of the audience is walking out of the theaters scratching their heads."
Pirates of the Caribbean: At World's End (2007),Not bad,spoiler warning
Pirates of the Caribbean: At World's End (2007),Best blockbuster movie since '300',"This summer is the season for threequels. Already we have seen ""Spider-Man 3"" and ""Shrek the Third"" hit the theaters and do quite well. Now it time for a new one in ""Pirates of the Caribbean: At World's End."" Does this movie have a chance at succeeding at the box office? Will it be a success or a failure? Read this review and find out for yourself.

""At World's End"" takes place shortly after the events of ""Dead Man's Chest."" The crew members of the Black Pearl, with the help of Captain Barbossa and Tia Dalma, must set out to ""Davy Jones' Locker"" in order to save Jack Sparrow. In the mean time, Lord Cutler Beckett and the East India Trading Company has teamed up with Davy Jones to destroy every man, woman and child that has ever had anything to do with piracy. Now these pirates are forced to unite in order to keep living the way they do.

If you are a fan of the first two, you will dig this movie. All of the great elements on the series are still here. The action scenes and special effects were even better this time around. The fantasy elements are still present. Jack Sparrow steals the show with every scene he is in, which is a big sign that his antics have not gone tiresome. Han Zimmer has another brilliant film score. This all means that if you liked the others, you will enjoy this.

The acting was acceptable. Of course, Johnny Depp can play Jack Sparrow in his sleep. It was very nice to see Geoffrey Rush back in action as Caption Barbossa. Keira Knightley has improved a lot since the first film as Elizabeth Swann. Bill Nighy is wonderful as Davy Jones, even with all the CG. Newcomers Chow Yun-Fat (Captain Sao Feng) and Keith Richards (Jack Sparrow's father, Captain Teague) gave great contributions to the movie.

A note to parents: this movie is the darkest and most adult of the series. There are a few scenes, biggest one in the first scene, which seemed strangely placed in a Disney flick. There are also some sexual innuendos in there as well. It definitely deserves the PG-13 rating. This film did not feel like a Disney movie, but then again, none of them do anyway. Nonetheless, if your kids can handle it take them because it is a great family flick.

Overall, if you a fan of the first two, you will love these. This is just as enjoyable as the first two. This is one of the must-see movies on the big screen. If you did not like the other two, do not see it because you will not like it. One small plot hole was brought to this reviewer's attention after the movie ended but it is neither big nor noticeable so it is not a big deal. At the end of the movie, there was a lot of applause from the audience and it truly deserved it. ""Pirates of the Caribbean: At World's End"" is extremely recommended!

Don't forget to stay for the credits."
Pirates of the Caribbean: At World's End (2007),Worse Than Bicentennial Man. Yoooo-Noooo!,spoiler warning
Pirates of the Caribbean: At World's End (2007),What's more fun than a barrel of monkeys?,spoiler warning
Pirates of the Caribbean: At World's End (2007),The Best Movie of 2007,"Go Enjoy the Movie Its Definitely Worth Buying a ticket

The Direction The Acting The Movie is Excellent the Story Line the Adaptation of the Flying Dutchman is Truly Excelled, The Favorite Character of mine is none other than Captain Jack Sparrow The Was Johnny Depp Acted was Flawless The Action Direction was Simply Great. This Movie will continue to rein in our heads and hope there will more sequels to it

All in All Every Single Detail Is Perfect The best Movie for the Fans of Pirates they will enjoy it Do Watch it and Enjoy you'll get your eyes hooked I cant wait for the DVD
9 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),The only piracy was committed by the producers,"I'm writing this review for two reasons: first, to serve as a warning; and second, as a form of therapy for what was a shockingly horrific experience. If you enjoy movies in any way, avoid this one. Here be monsters.

I really enjoyed 'Dead Man's Chest', which, to say it was based on a theme park ride, had a real swashbuckling feel to it. The second movie was disappointing, but 'World's End' was insulting. One character mentions that ""its only business"" and you get the distinct feeling that it was an often repeated line by those making the movie. The only form of piracy was the fact that people had to pay to see this movie.

To criticise the plot seems a little pointless because there really isn't one. The movie stumbles like a senile blind-man from one character to another as we are supposed to be convinced that everyone is out for themselves, but they're all lovable rogues really. You soon come to hate each character for wasting your time before the plot kicks in (which it doesn't). It truly proves that a mass of characters does not in itself make a movie.

The outstanding thing about this movie is how you are constantly surprised. After a scene that leaves you feeling that that must be the lowest point, another pops up that's even worse. When one of the characters attempts a rousing speech the collective sigh of the movie watchers was very impressive. The speech itself was as shrill as it was clichéd.

To all the movie-goers out there I say: avoid this movie or simple post in your money to the producers and save yourself a couple of hours. To the makers of this movie I recommend reading Capt. Charles Johnson's 'A general history of the robberies and murders of the most notorious pirates' either that or using a dictionary. P is for Pirate.

How can you make a pirate movie without any piracy?"
